变体,编号,八字,旧分,新分,Δ分,旧旺衰,新旺衰,旧用神,新用神
V7,P15-20,壬午 癸卯 戊寅 乙卯,6,1,-5,极弱,极弱,火,火
V8,#6,甲辰 丙寅 戊午 丁巳,62,66,4,偏强,偏强,水,水
V8,#8,庚申 壬午 甲午 丙寅,24,30,6,极弱,偏弱,水,水
V8,#9,甲子 丁卯 己未 庚午,51,55,4,中和,中和,木,木
V8,#10,辛酉 癸巳 壬子 庚子,75,81,6,偏强,极强,火,火
V8,A3,丙申 庚寅 戊辰 丁巳,56,60,4,中和,偏强,水,水
V8,A4,辛亥 庚寅 己巳 庚午,32,36,4,偏弱,偏弱,火,火
V8,A5,壬辰 癸卯 戊戌 丁巳,47,51,4,中和,中和,土,木
V8,A6,癸酉 乙卯 己丑 己巳,34,38,4,偏弱,偏弱,火,火
V8,B1,庚申 壬午 甲午 丙寅,24,30,6,极弱,偏弱,水,水
V8,B4,戊辰 戊午 乙亥 戊寅,36,42,6,偏弱,中和,木,木
V8,B5,庚子 甲申 乙卯 丙子,42,46,4,中和,中和,水,水
V8,B6,丙申 己亥 丁卯 壬寅,34,38,4,偏弱,偏弱,木,木
V8,P15-01,戊辰 乙卯 甲子 丙寅,92,100,8,极强,极强,金,金
V8,P15-02,辛未 丙申 壬子 甲辰,83,87,4,极强,极强,土,土
V8,P15-03,乙丑 戊寅 己巳 庚午,51,55,4,中和,中和,火,水
V8,P15-04,庚午 壬午 丙寅 戊子,84,90,6,极强,极强,水,水
V8,P15-06,丙辰 癸巳 戊戌 庚申,89,93,4,极强,极强,金,金
V8,P15-07,己未 壬申 甲子 乙亥,58,62,4,中和,偏强,土,土
V8,P15-09,丁丑 癸卯 庚申 丙戌,47,51,4,中和,中和,土,水
V8,P15-10,壬辰 丙午 己亥 乙丑,73,83,10,偏强,极强,木,木
V8,P15-11,乙亥 己卯 丁巳 庚戌,79,83,4,偏强,极强,金,金
V8,P15-13,辛巳 丁酉 癸亥 壬子,95,100,5,极强,极强,土,土
V8,P15-16,丁卯 壬寅 壬午 庚子,26,32,6,极弱,偏弱,水,水
V8,P15-17,庚辰 己卯 丙申 己亥,51,55,4,中和,中和,火,土
V8,P15-18,甲申 丙寅 甲辰 己巳,68,74,6,偏强,偏强,金,金
V9,#6,甲辰 丙寅 戊午 丁巳,62,74,12,偏强,偏强,水,水
V9,#8,庚申 壬午 甲午 丙寅,24,30,6,极弱,偏弱,水,水
V9,#9,甲子 丁卯 己未 庚午,51,57,6,中和,中和,木,木
V9,#10,辛酉 癸巳 壬子 庚子,75,81,6,偏强,极强,火,火
V9,A1,甲辰 丙寅 戊午 庚申,45,51,6,中和,中和,火,水
V9,A2,甲子 丁卯 己未 癸酉,40,46,6,中和,中和,火,火
V9,A3,丙申 庚寅 戊辰 丁巳,56,68,12,中和,偏强,水,水
V9,A4,辛亥 庚寅 己巳 庚午,32,38,6,偏弱,偏弱,火,火
V9,A5,壬辰 癸卯 戊戌 丁巳,47,53,6,中和,中和,土,木
V9,A6,癸酉 乙卯 己丑 己巳,34,40,6,偏弱,中和,火,火
V9,B1,庚申 壬午 甲午 丙寅,24,30,6,极弱,偏弱,水,水
V9,B4,戊辰 戊午 乙亥 戊寅,36,48,12,偏弱,中和,木,土
V9,P15-01,戊辰 乙卯 甲子 丙寅,92,100,8,极强,极强,金,金
V9,P15-02,辛未 丙申 壬子 甲辰,83,89,6,极强,极强,土,土
V9,P15-03,乙丑 戊寅 己巳 庚午,51,57,6,中和,中和,火,水
V9,P15-04,庚午 壬午 丙寅 戊子,84,90,6,极强,极强,水,水
V9,P15-06,丙辰 癸巳 戊戌 庚申,89,95,6,极强,极强,金,金
V9,P15-07,己未 壬申 甲子 乙亥,58,64,6,中和,偏强,土,土
V9,P15-10,壬辰 丙午 己亥 乙丑,73,79,6,偏强,偏强,木,木
V9,P15-13,辛巳 丁酉 癸亥 壬子,95,100,5,极强,极强,土,土
V9,P15-14,丙寅 庚寅 戊辰 癸亥,22,28,6,极弱,极弱,土,土
V9,P15-15,癸未 戊午 乙卯 丙戌,19,25,6,极弱,极弱,木,木
V9,P15-16,丁卯 壬寅 壬午 庚子,26,32,6,极弱,偏弱,水,水
V9,P15-18,甲申 丙寅 甲辰 己巳,68,74,6,偏强,偏强,金,金
V9,P15-19,己亥 丙子 辛酉 戊子,45,57,12,中和,中和,土,木
