变体,originalResidual,newEffect,盘,八字,BASE分,新分,Δ分,未重构基线分,BASE旺衰,新旺衰,BASE用神,新用神,BASE喜,新喜,BASE忌,新忌
"R25E75","0.25","0.75","H10","癸未 丁巳 丙戌 辛卯","100","97.25","-2.75","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R25E75","0.25","0.75","H14","乙丑 己丑 壬子 辛丑","10","15.5","5.5","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R25E50","0.25","0.5","P15-15","癸未 戊午 乙卯 丙戌","19","25.5","6.5","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R25E50","0.25","0.5","H01","癸未 戊午 乙卯 丙戌","19","25.5","6.5","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R25E50","0.25","0.5","H02","戊辰 甲寅 丁亥 庚子","71","64.5","-6.5","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R25E50","0.25","0.5","H03","甲寅 戊辰 壬子 辛丑","23","31","8","45","极弱","偏弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R25E50","0.25","0.5","H07","己丑 丙寅 丁亥 甲辰","86","79.5","-6.5","68","极强","偏强","土","土","土、金、水","土、金、水","木、火","木、火"
"R25E50","0.25","0.5","H10","癸未 丁巳 丙戌 辛卯","100","94.25","-5.75","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R25E50","0.25","0.5","H14","乙丑 己丑 壬子 辛丑","10","18","8","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R50E100","0.5","1","P15-15","癸未 戊午 乙卯 丙戌","19","25","6","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R50E100","0.5","1","H01","癸未 戊午 乙卯 丙戌","19","25","6","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R50E100","0.5","1","H02","戊辰 甲寅 丁亥 庚子","71","66","-5","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E100","0.5","1","H03","甲寅 戊辰 壬子 辛丑","23","29","6","45","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R50E100","0.5","1","H07","己丑 丙寅 丁亥 甲辰","86","81","-5","68","极强","极强","土","土","土、金、水","土、金、水","木、火","木、火"
"R50E100","0.5","1","H10","癸未 丁巳 丙戌 辛卯","100","98.5","-1.5","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E100","0.5","1","H14","乙丑 己丑 壬子 辛丑","10","16","6","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R50E75","0.5","0.75","P15-15","癸未 戊午 乙卯 丙戌","19","26.75","7.75","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R50E75","0.5","0.75","H01","癸未 戊午 乙卯 丙戌","19","26.75","7.75","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R50E75","0.5","0.75","H02","戊辰 甲寅 丁亥 庚子","71","64","-7","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E75","0.5","0.75","H03","甲寅 戊辰 壬子 辛丑","23","31.5","8.5","45","极弱","偏弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R50E75","0.5","0.75","H07","己丑 丙寅 丁亥 甲辰","86","79","-7","68","极强","偏强","土","土","土、金、水","土、金、水","木、火","木、火"
"R50E75","0.5","0.75","H10","癸未 丁巳 丙戌 辛卯","100","95.5","-4.5","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E75","0.5","0.75","H14","乙丑 己丑 壬子 辛丑","10","18.5","8.5","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R50E50","0.5","0.5","P15-15","癸未 戊午 乙卯 丙戌","19","28.5","9.5","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R50E50","0.5","0.5","H01","癸未 戊午 乙卯 丙戌","19","28.5","9.5","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R50E50","0.5","0.5","H02","戊辰 甲寅 丁亥 庚子","71","62","-9","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E50","0.5","0.5","H03","甲寅 戊辰 壬子 辛丑","23","34","11","45","极弱","偏弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R50E50","0.5","0.5","H07","己丑 丙寅 丁亥 甲辰","86","77","-9","68","极强","偏强","土","土","土、金、水","土、金、水","木、火","木、火"
"R50E50","0.5","0.5","H10","癸未 丁巳 丙戌 辛卯","100","92.5","-7.5","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E50","0.5","0.5","H13","壬寅 丙午 丙戌 辛卯","100","99.5","-0.5","90","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R50E50","0.5","0.5","H14","乙丑 己丑 壬子 辛丑","10","21","11","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R75E100","0.75","1","P15-15","癸未 戊午 乙卯 丙戌","19","28","9","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R75E100","0.75","1","H01","癸未 戊午 乙卯 丙戌","19","28","9","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R75E100","0.75","1","H02","戊辰 甲寅 丁亥 庚子","71","63.5","-7.5","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E100","0.75","1","H03","甲寅 戊辰 壬子 辛丑","23","32","9","45","极弱","偏弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R75E100","0.75","1","H07","己丑 丙寅 丁亥 甲辰","86","78.5","-7.5","68","极强","偏强","土","土","土、金、水","土、金、水","木、火","木、火"
"R75E100","0.75","1","H10","癸未 丁巳 丙戌 辛卯","100","96.75","-3.25","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E100","0.75","1","H14","乙丑 己丑 壬子 辛丑","10","19","9","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R75E75","0.75","0.75","P15-15","癸未 戊午 乙卯 丙戌","19","29.75","10.75","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R75E75","0.75","0.75","H01","癸未 戊午 乙卯 丙戌","19","29.75","10.75","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R75E75","0.75","0.75","H02","戊辰 甲寅 丁亥 庚子","71","61.5","-9.5","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E75","0.75","0.75","H03","甲寅 戊辰 壬子 辛丑","23","34.5","11.5","45","极弱","偏弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R75E75","0.75","0.75","H07","己丑 丙寅 丁亥 甲辰","86","76.5","-9.5","68","极强","偏强","土","土","土、金、水","土、金、水","木、火","木、火"
"R75E75","0.75","0.75","H10","癸未 丁巳 丙戌 辛卯","100","93.75","-6.25","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E75","0.75","0.75","H14","乙丑 己丑 壬子 辛丑","10","21.5","11.5","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R75E50","0.75","0.5","P15-15","癸未 戊午 乙卯 丙戌","19","31.5","12.5","","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R75E50","0.75","0.5","H01","癸未 戊午 乙卯 丙戌","19","31.5","12.5","38","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R75E50","0.75","0.5","H02","戊辰 甲寅 丁亥 庚子","71","59.5","-11.5","53","偏强","中和","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E50","0.75","0.5","H03","甲寅 戊辰 壬子 辛丑","23","37","14","45","极弱","偏弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R75E50","0.75","0.5","H07","己丑 丙寅 丁亥 甲辰","86","74.5","-11.5","68","极强","偏强","土","土","土、金、水","土、金、水","木、火","木、火"
"R75E50","0.75","0.5","H10","癸未 丁巳 丙戌 辛卯","100","90.75","-9.25","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E50","0.75","0.5","H13","壬寅 丙午 丙戌 辛卯","100","97.75","-2.25","90","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R75E50","0.75","0.5","H14","乙丑 己丑 壬子 辛丑","10","24","14","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
