模型,盘,类别,四柱,模型资格,S,T,D,模型adj,全口径adj,方向一致,BASE分,BASE旺衰,模型分,模型旺衰,Δ分,五档翻转,用神翻转,BASE用神,模型用神,BASE喜,模型喜,BASE忌,模型忌
"M_B","H18","专项","癸卯 己未 甲午 壬申","真化","S1","T2","无","-1","1","翻转","29","极弱","28","极弱","-1","无","无","木","木","木、水","木、水","火、土、金","火、土、金"
"M_B","A5","基线","壬辰 癸卯 戊戌 丁巳","趋化","S2","T2","R1","-6","-4","一致","47","中和","41","中和","-6","无","翻转","土","土","土","土、火","","木、金、水"
"M_B","P15-15","锚点","癸未 戊午 乙卯 丙戌","真化","S1","T2","无","-11.25","-19","一致","19","极弱","26.75","极弱","7.75","无","无","木","木","木、水","木、水","金、火、土","金、火、土"
"M_C","H01","专项","癸未 戊午 乙卯 丙戌","真化","S1","T2","无","-11.25","-19","一致","19","极弱","26.75","极弱","7.75","无","无","木","木","木、水","木、水","金、火、土","金、火、土"
"M_C","H02","专项","戊辰 甲寅 丁亥 庚子","真化","S1","T2","无","11","18","一致","71","偏强","64","偏强","-7","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_C","H03","专项","甲寅 戊辰 壬子 辛丑","真化","S1","T2","无","-13.5","-22","一致","23","极弱","31.5","偏弱","8.5","翻转","无","金","金","金、水","金、水","木、土、火","木、土、火"
"M_C","H04","专项","甲申 庚午 辛卯 戊戌","趋化","S1","T0","无","0.25","-4","翻转","26","极弱","30.25","偏弱","4.25","翻转","无","金","金","金、土","金、土","木、火、水","木、火、水"
"M_C","H05","专项","庚子 乙酉 甲辰 甲子","趋化","S1","T1","无","0.25","-4","翻转","21","极弱","25.25","极弱","4.25","无","无","水","水","水、木","水、木","火、土、金","火、土、金"
"M_C","H06","专项","乙巳 壬午 丁未 戊申","趋化","S2","T2","无","0","0","一致","98","极强","79","偏强","-19","翻转","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_C","H07","专项","己丑 丙寅 丁亥 甲辰","真化","S1","T2","无","11","18","一致","86","极强","79","偏强","-7","翻转","无","土","土","土、金、水","土、金、水","木、火","木、火"
"M_C","H08","专项","丁酉 丙午 丁卯 庚戌","趋化","S1","T2","R1","-1","4","翻转","94","极强","89","极强","-5","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_C","H09","专项","甲寅 壬申 壬辰 己酉","趋化","S1","T0","R2","12.75","18","一致","80","极强","74.75","偏强","-5.25","翻转","无","木","木","木、火、土","木、火、土","金、水","金、水"
"M_C","H10","专项","癸未 丁巳 丙戌 辛卯","真化","S1","T2","无","12.5","19","一致","100","极强","95.5","极强","-4.5","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_C","H11","专项","壬辰 癸卯 戊戌 丁巳","趋化","S2","T2","R1","-6.5","-4","一致","47","中和","40.5","中和","-6.5","无","翻转","土","土","土","土、火","","木、金、水"
"M_C","H12","专项","甲申 丁丑 壬辰 己酉","趋化","S2","T0","无","12.75","18","一致","22","极弱","34.75","偏弱","12.75","翻转","无","金","金","金、水","金、水","木、火、土","木、火、土"
"M_C","H13","专项","壬寅 丙午 丙戌 辛卯","真化","S1","T2","无","12.5","19","一致","100","极强","100","极强","0","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_C","H14","专项","乙丑 己丑 壬子 辛丑","真化","S1","T2","无","-13.5","-22","一致","10","极弱","18.5","极弱","8.5","无","无","金","金","金、水","金、水","木、土、火","木、土、火"
"M_C","H15","专项","甲寅 庚午 庚辰 乙酉","合而不化","S0","T2","无","0","0","—","36","偏弱","36","偏弱","0","无","无","金","金","金、土","金、土","木、火、水","木、火、水"
"M_C","H16","专项","丙辰 庚子 癸巳 庚申","趋化","S1","T0","无","11.25","18","一致","100","极强","100","极强","0","无","无","火","火","火、木、土","火、木、土","金、水","金、水"
"M_C","H17","专项","甲子 丙子 癸亥 甲寅","趋化","S2","T2","无","-14","-19","一致","97","极强","83","极强","-14","无","无","土","土","土、火、木","土、火、木","金、水","金、水"
"M_C","H18","专项","癸卯 己未 甲午 壬申","真化","S1","T2","无","-1","1","翻转","29","极弱","28","极弱","-1","无","无","木","木","木、水","木、水","火、土、金","火、土、金"
"M_C","A5","基线","壬辰 癸卯 戊戌 丁巳","趋化","S2","T2","R1","-6.5","-4","一致","47","中和","40.5","中和","-6.5","无","翻转","土","土","土","土、火","","木、金、水"
"M_C","P15-15","锚点","癸未 戊午 乙卯 丙戌","真化","S1","T2","无","-11.25","-19","一致","19","极弱","26.75","极弱","7.75","无","无","木","木","木、水","木、水","金、火、土","金、火、土"
