样本集,编号,八字,日主,月支,月令五行mwx,①令,①分值,mwxCount,⑤命中,⑤BASE,⑤P22,|⑤|/|①|BASE,|⑤|/|①|P22,BASE分,BASE档,P22分,P22档,档位翻转,用神,喜神,忌神,格局,备注
"六盘锚点","P15-09","丁丑 癸卯 庚申 丙戌","金","卯","木","","-10","1","否","0","0","","","47","中和","47","中和","否","土→土","土→土","→","正财格·破格→正财格·破格",""
"六盘锚点","P15-12","戊子 甲寅 庚申 丁亥","金","寅","木","囚","-10","2","是","-8","-4","0.8","0.4","27","极弱","31","偏弱","是","土→土","土、金→土、金","木、火、水→木、火、水","偏财格·破格→偏财格·破格","⑤命中；翻档"
"六盘锚点","P15-14","丙寅 庚寅 戊辰 癸亥","土","寅","木","","-25","2","否","0","0","","","22","极弱","22","极弱","否","土→土","土、火→土、火","木、水、金→木、水、金","食神制杀格·破格→食神制杀格·破格",""
"六盘锚点","P15-15","癸未 戊午 乙卯 丙戌","木","午","火","休","-15","2","是","-4","-2","0.27","0.13","27.75","极弱","29.75","极弱","否","木→木","木、水→木、水","金、火、土→金、火、土","食神生财格·破格→食神生财格·破格","⑤命中"
"六盘锚点","P15-16","丁卯 壬寅 壬午 庚子","水","寅","木","休","-15","2","是","-4","-2","0.27","0.13","26","极弱","28","极弱","否","水→水","水、金→水、金","木、土、火→木、土、火","食神格·破格→食神格·破格","⑤命中"
"18专项(观察)","H01","癸未 戊午 乙卯 丙戌","木","午","火","休","-15","2","是","-4","-2","0.27","0.13","27.75","极弱","29.75","极弱","否","木→木","木、水→木、水","金、火、土→金、火、土","食神生财格·破格→食神生财格·破格","⑤命中"
"18专项(观察)","H02","戊辰 甲寅 丁亥 庚子","火","寅","木","","20","2","否","0","0","","","64","偏强","64","偏强","否","水→水","水、土、金→水、土、金","木、火→木、火","正印格·破格→正印格·破格",""
"18专项(观察)","H03","甲寅 戊辰 壬子 辛丑","水","辰","土","","-13","3","否","0","0","","","31.5","偏弱","31.5","偏弱","否","金→金","金、水→金、水","木、土、火→木、土、火","七杀格·成格→七杀格·成格",""
"18专项(观察)","H04","甲申 庚午 辛卯 戊戌","金","午","火","","-25","1","否","0","0","","","26.5","极弱","26.5","极弱","否","金→金","金、土→金、土","木、火、水→木、火、水","七杀格·破格→七杀格·破格",""
"18专项(观察)","H05","庚子 乙酉 甲辰 甲子","木","酉","金","","-25","2","否","0","0","","","21.5","极弱","21.5","极弱","否","水→水","水、木→水、木","火、土、金→火、土、金","正官格·破格→正官格·破格",""
"18专项(观察)","H06","乙巳 壬午 丁未 戊申","火","午","火","","30","3","否","0","0","","","77","偏强","77","偏强","否","水→水","水、土、金→水、土、金","木、火→木、火","建禄格·成格→建禄格·成格",""
"18专项(观察)","H07","己丑 丙寅 丁亥 甲辰","火","寅","木","","20","2","否","0","0","","","79","偏强","79","偏强","否","土→土","土、金、水→土、金、水","木、火→木、火","正印格·成格→正印格·成格",""
"18专项(观察)","H08","丁酉 丙午 丁卯 庚戌","火","午","火","","30","4","否","0","0","","","94","极强","94","极强","否","水→水","水、土、金→水、土、金","木、火→木、火","建禄格·成格→建禄格·成格",""
"18专项(观察)","H09","甲寅 壬申 壬辰 己酉","水","申","金","","20","2","否","0","0","","","68.5","偏强","68.5","偏强","否","木→木","木、火、土→木、火、土","金、水→金、水","偏印格·破格→偏印格·破格",""
"18专项(观察)","H10","癸未 丁巳 丙戌 辛卯","火","巳","火","","30","3","否","0","0","","","95.5","极强","95.5","极强","否","水→水","水、土、金→水、土、金","木、火→木、火","建禄格·成格→建禄格·成格",""
"18专项(观察)","H11","壬辰 癸卯 戊戌 丁巳","土","卯","木","","-25","1","否","0","0","","","48","中和","48","中和","否","土→土","土→土","→","正官格·破格→正官格·破格",""
"18专项(观察)","H12","甲申 丁丑 壬辰 己酉","水","丑","土","","-13","3","否","0","0","","","28.5","极弱","28.5","极弱","否","金→金","金、水→金、水","木、火、土→木、火、土","正官格·破格→正官格·破格",""
"18专项(观察)","H13","壬寅 丙午 丙戌 辛卯","火","午","火","","30","3","否","0","0","","","100","极强","100","极强","否","水→水","水、土、金→水、土、金","木、火→木、火","羊刃格·成格→羊刃格·成格",""
"18专项(观察)","H14","乙丑 己丑 壬子 辛丑","水","丑","土","","-13","4","否","0","0","","","18.5","极弱","18.5","极弱","否","金→金","金、水→金、水","木、土、火→木、土、火","正官格·破格→正官格·破格",""
"18专项(观察)","H15","甲寅 庚午 庚辰 乙酉","金","午","火","","-25","1","否","0","0","","","36","偏弱","36","偏弱","否","金→金","金、土→金、土","木、火、水→木、火、水","正官格·破格→正官格·破格",""
"18专项(观察)","H16","丙辰 庚子 癸巳 庚申","水","子","水","","30","2","否","0","0","","","98.5","极强","98.5","极强","否","火→火","火、木、土→火、木、土","金、水→金、水","建禄格·成格→建禄格·成格",""
"18专项(观察)","H17","甲子 丙子 癸亥 甲寅","水","子","水","","30","4","否","0","0","","","90.5","极强","90.5","极强","否","土→土","土、火、木→土、火、木","金、水→金、水","建禄格·成格→建禄格·成格",""
"18专项(观察)","H18","癸卯 己未 甲午 壬申","木","未","土","囚","-10","2","是","-8","-4","0.8","0.4","27","极弱","31","偏弱","是","木→木","木、水→木、水","火、土、金→火、土、金","正财格·破格→正财格·成格","⑤命中；翻档；格局变"
"附加观察","P15-19","己亥 丙子 辛酉 戊子","金","子","水","休","-15","3","是","-8","-4","0.53","0.27","45","中和","49","中和","否","土→木","土、金→木、火","水→","食神格·破格→食神格·破格","⑤命中；用神翻转；喜翻转；忌翻转"
