case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R08-C09","yong","火","金","0","旺衰联动差异","独立先取火泄旺木，网站先取辛杀制木","核心方向相反","扩展建禄专旺边界"
"R08-C09","xi","土","金、火、土","1","集合语义差异","网站集合包含独立喜用土","方向一致","展示主次"
"R08-C09","ji","木、水","木、水","1","-","印比过旺均列忌","一致","无"
"R08-C09","pattern_name","建禄格","建禄格","1","-","卯月建禄","一致","无"
"R08-C09","pattern_status","成格","成格","1","-","双方均承认杀星透出且日主能任","一致","无"
"R08-C10","strength","极强","极强","1","-","三卯三乙与癸印成势","一致","无"
"R08-C10","yong","火","金","0","旺衰联动差异","独立先取伤官泄木，网站先取藏杀制木","核心方向相反","扩展建禄专旺边界"
"R08-C10","xi","土","金、火、土","1","集合语义差异","网站集合包含独立喜用土","方向一致","展示主次"
"R08-C10","ji","木、水","木、水","1","-","印比过旺均列忌","一致","无"
"R08-C10","pattern_name","建禄格","建禄格","1","-","卯月建禄","一致","无"
"R08-C10","pattern_status","成格","破格","0","财官显隐口径差异","独立认为丙伤官透、戌财有根可成格，网站要求财官透干","格局状态不同","扩展建禄财官显隐同构盘"
