case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
R01-C04,ji,火土,木金水,0,流派口径差异,两套取用路径不同,忌神方向相反,随核心用神复审
R01-C04,pattern_name,伤官格,伤官格,1,-,名称一致,无,无
R01-C04,pattern_status,破格,破格,1,-,伤官见官,无,无
R01-C05,strength,身弱,偏弱,1,-,亥月双财且保留己戌巳扶助,无,无
R01-C05,yong,火,土,0,流派口径差异,独立先暖局网站先比劫扶身,第一顺序不同,确认冬土调候优先级
R01-C05,xi,土,土火,0,流派口径差异,网站集合包含核心用神和调候,集合语义不同,统一主次展示
R01-C05,ji,水木,木金水,0,流派口径差异,网站把泄身金也列忌,范围差异,核验金在此盘作用
R01-C05,pattern_name,正财格,正财格,1,-,名称一致,无,无
R01-C05,pattern_status,层次受限,破格,0,流派口径差异,独立区分格成与身弱网站直接判破,公开标签不同,讨论成格与承载分层
R01-C06,strength,身弱,极弱,1,-,水势成局且仅丑中根印,程度基本一致,无
R01-C06,yong,土,土,1,-,印星制水生金,无,无
R01-C06,xi,金火,土金,0,流派口径差异,独立把火列条件性调候网站不列火,调候展示不同,明确火仅为辅助
R01-C06,ji,水木,木水火,0,流派口径差异,网站因身弱把火列忌,火调候与克身冲突,说明使用条件
R01-C06,pattern_name,偏印格,食神格,0,流派口径差异,丑本气己未透而月干癸透,月令本气与透干取格口径不同,公开取格依据需展示
R01-C06,pattern_status,不纯,破格,0,流派口径差异,两种格名基础不同,状态不可直接等同,随取格口径复审
R01-C07,strength,身弱,极弱,1,-,财食官连续耗制且根浅,程度基本一致,无
R01-C07,yong,土,土,1,-,印化官生身,无,无
R01-C07,xi,金,土金,0,流派口径差异,网站喜神集合包含用神,集合语义不同,统一展示语义
R01-C07,ji,木火水,木火水,1,-,列表一致,无,无
R01-C07,pattern_name,正财格,正财格,1,-,名称一致,无,无
R01-C07,pattern_status,成立但身弱,破格,0,流派口径差异,独立区分格局成立和日主承载,公开标签不同,将成立与层次拆开
R01-C08,strength,中和偏弱,极弱,0,证据不足,子强根癸劫丑中癸与财官冲战权重分歧,强弱程度差大,增加同结构对照盘
R01-C08,yong,金,金,1,-,印星通关扶身,无,无
R01-C08,xi,水,金水,0,流派口径差异,网站喜神集合包含用神,集合语义不同,统一展示语义
R01-C08,ji,火土,木火土,0,流派口径差异,网站把泄水木也列忌,范围不同,核验木的实际作用
R01-C08,pattern_name,正官格,正官格,1,-,名称一致,无,无
R01-C08,pattern_status,边界,破格,0,证据不足,丑未冲与子午冲对格局稳定性影响程度,标签强度不同,增加冲月令样本
R01-C09,strength,极强,极强,1,-,两巳乙卯丙助火,无,无
R01-C09,yong,水,水,1,-,水制火兼调候,无,无
R01-C09,xi,金,水土金,0,流派口径差异,网站纳入用神及土泄秀,集合更宽,说明土会同时制水
R01-C09,ji,木火,木火,1,-,列表一致,无,无
R01-C09,pattern_name,月劫或刃旺边界,羊刃格,0,流派口径差异,丁火巳月的刃禄命名口径不同,格名不同,展示月令十神依据
R01-C09,pattern_status,边界,成格,0,证据不足,癸杀虽透有辰根但制火力量薄,成格程度争议,核验杀根有效性
R01-C10,strength,极弱近从,极弱,1,-,双方均确认日主极弱,从格另列,无
R01-C10,yong,土,金,0,流派口径差异,独立按从杀顺势网站按不从扶身,取用完全反转,先确认辛印是否破从
R01-C10,xi,火,金水,0,流派口径差异,从与不从导致完全反转,公开建议相反,需用户确认流派标准
R01-C10,ji,金水,木火土,0,流派口径差异,从与不从导致完全反转,公开建议相反,需用户确认流派标准
R01-C10,pattern_name,从杀边界兼官杀混杂,杀印相生格,0,流派口径差异,辛印无根是否足以构成杀印相生,格名差异大,核验印星有效性门槛
R01-C10,pattern_status,疑似边界,破格,0,证据不足,从格与普通格两套前提不同,状态不可直接比较,先裁定从格
R01-C01,explanation_consistency,用火理由应对应核心用神,核心用神木但理由称需火暖局,0,明确程序错误,同一结果对象的核心字段与首要理由五行不同,用户无法判断到底取木还是火,让首要理由从最终选中用神生成
R01-C03,explanation_consistency,用水理由应对应核心用神,核心用神木但理由称需水调候,0,明确程序错误,同一结果对象的核心字段与首要理由五行不同,用户无法判断到底取木还是水,区分结构用神与调候辅助并明确主次
R01-C06,explanation_consistency,用土理由应对应核心用神,核心用神土但理由称非火不暖,0,明确程序错误,同一结果对象的核心字段与首要理由五行不同,用户无法判断到底取土还是火,首要理由必须解释土并另列火为条件性调候
