case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R02-C04","strength","极弱接近从官杀","极弱","1","-","原局无火根木印且财官杀成势","普通旺衰方向一致","无"
"R02-C04","yong","水","木","0","流派口径差异","独立按从官杀顺势，网站明确不从并取印扶身","用神完全反转","先确认无根丁火的从格门槛"
"R02-C04","xi","金","木火","0","流派口径差异","从与不从导致相反取用","公开建议相反","随从格门槛复审"
"R02-C04","ji","木火土","土金水","0","流派口径差异","从与不从导致相反取用","公开建议相反","随从格门槛复审"
"R02-C04","pattern_name","从官杀格疑似","正官格","0","流派口径差异","独立看水势顺从，网站按亥藏壬透年干取正官","格局体系不同","把从格判断与普通格名分层展示"
"R02-C04","pattern_status","疑似边界","破格","0","证据不足","是否接受从格是前提分歧","状态不可直接等同","先裁定从格"
"R02-C05","strength","极弱","极弱","1","-","食伤生财官连续耗制且酉印孤立","无","无"
"R02-C05","yong","金","金","1","-","印星生水并制木","无","无"
"R02-C05","xi","水","金水","0","流派口径差异","网站喜神集合包含核心用神金","集合语义不同","公开区分用神与喜神"
"R02-C05","ji","木火土","木火土","1","-","集合一致","无","无"
"R02-C05","pattern_name","食神格","食神格","1","-","寅藏甲透月干","无","无"
"R02-C05","pattern_status","破格倾向","破格","1","-","双方均认为身弱难任食神财官链","无","无"
"R02-C06","strength","身弱","极弱","1","-","两寅乙泄身且巳未耗制，仅辛壬帮扶","程度差异不改变扶身方向","无"
"R02-C06","yong","金","金","1","-","印制伤官并生身","无","无"
"R02-C06","xi","水","金水","0","流派口径差异","网站喜神集合包含核心用神金","集合语义不同","公开区分用神与喜神"
"R02-C06","ji","木火土","木火土","1","-","集合一致","无","无"
"R02-C06","pattern_name","正官格受伤","伤官格","0","流派口径差异","独立以未中己本气正官为底，网站以未藏乙透月干取伤官","格名入口不同但都识别伤官见官风险","明确本气与透干取格口径"
"R02-C06","pattern_status","破格风险","破格","1","-","双方均认为伤官见官且制化不足","无","无"
"R02-C07","strength","身弱","极弱","1","-","寅亥合财且寅申冲动摇申根","程度差异不改变扶身方向","无"
"R02-C07","yong","土","金","0","流派口径差异","独立先取印制水生金，网站先取比劫直接扶身","扶身路径先后不同","增加冬金申根受冲样本"
"R02-C07","xi","金","金土","0","流派口径差异","网站集合包含核心用神金并把土列辅助","集合语义不同","区分核心用神与辅助喜神"
"R02-C07","ji","木水火","水木火","1","-","集合一致","无","无"
"R02-C07","pattern_name","食神生财格","食神生财格","1","-","亥食神生甲乙寅财","无","无"
"R02-C07","pattern_status","结构成立但承载受限","破格","0","流派口径差异","独立区分结构成立与日主承载，网站因极弱直接判破","公开格局标签不同","考虑拆分结构与层次"
"R02-C08","strength","身强","偏强","1","-","乙木寅月得令并有双寅根","无","无"
"R02-C08","yong","金","金","1","-","官杀制旺木","无","无"
"R02-C08","xi","土","金火土","0","流派口径差异","网站集合包含用神并把火列喜，独立认为巳火已有且再增会削弱杀力","火的角色不同","核验官杀与食伤制化权重"
"R02-C08","ji","木水","木水","1","-","集合一致","无","无"
"R02-C08","pattern_name","月劫用杀兼官杀混杂","羊刃格","0","流派口径差异","独立强调庚辛制旺与混杂，网站使用乙木寅月羊刃基础格名","格名精细度不同","保留制刃和混杂证据"
"R02-C08","pattern_status","边界","成格","0","证据不足","巳酉半合增金与巳火制金并存","成格程度争议","增加同类官杀混杂制刃样本"
"R02-C09","strength","中和偏弱","偏弱","1","-","申根辛印辰水根能扶但卯乙泄气当令","无","无"
"R02-C09","yong","金","金","1","-","印星生水并制伤官","无","无"
"R02-C09","xi","水","金水","0","流派口径差异","网站喜神集合包含核心用神金","集合语义不同","公开区分用神与喜神"
"R02-C09","ji","木火土","木火土","1","-","集合一致","无","无"
"R02-C09","pattern_name","伤官配印格边界","伤官配印格","1","-","卯乙伤官与辛印同现","名称主体一致","无"
"R02-C09","pattern_status","边界","成格","0","证据不足","丙辛合绊以及巳申合水是否成立影响印星有效性","成格程度不同","增加合绊印星样本"
"R02-C10","strength","身强","偏强","1","-","申禄庚比与己未丑印支持明显","无","无"
"R02-C10","yong","火","木","0","流派口径差异","独立取丁官制金，网站取财制印并耗身","官与财的优先级不同","核验有根官星与无根财星的排序"
"R02-C10","xi","木且水条件性可用","木水火","0","流派口径差异","网站集合包含核心用神木和火，独立以火为用并限制水伤官","公开主次与条件不同","展示财官食伤的使用条件"
"R02-C10","ji","土金","土金","1","-","集合一致","无","无"
"R02-C10","pattern_name","正官格","正官格","1","-","午藏丁透时干","无","无"
"R02-C10","pattern_status","成立","成格","1","-","双方均确认官星透根且无伤官克官","无","无"
"R02-C01","score_explanation_consistency","核心用神与评分口径应清楚区分","取土49分但未取火53分，仍写候选五行评分后取土","0","明确程序错误","赢家按不含调候的SBase选择，公开证据却把含调候的SNeed称为综合分","用户会认为系统没有选择最高分","公开区分结构分与调候参考分，禁止用综合分误导"
"R02-C03","score_explanation_consistency","核心用神与评分口径应清楚区分","取金21分但未取水27分，仍写候选五行评分后取金","0","明确程序错误","赢家按不含调候的SBase选择，公开证据却把含调候的SNeed称为综合分","用户会认为用神选择自相矛盾","公开区分结构分与调候参考分，禁止用综合分误导"
"R02-C01","day_master_citation_consistency","戊土规则应使用戊土或通用土日主表述","日主戊土但调候依据写己土冬生","0","明确程序错误","丑月土日主共用固定己土文案","引用对象与实际日主不一致","改为戊己分开或使用冬土通用表述"
