case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R06-C06","strength","中和","极弱","0","旺衰权重差异","甲比卯刃壬印与申杀丁午泄耗权重不同","程度差异大","扩展同构盘"
"R06-C06","yong","水","木","0","主次差异","独立先用印，网站极弱先扶木","核心取用不同","继续复核"
"R06-C06","xi","木","木、水","1","集合语义差异","双方方向均含木水","主次不同","展示主次"
"R06-C06","ji","土、金","火、土、金","0","程度差异","火的角色不同","次要方向不同","继续观察"
"R06-C06","pattern_name","杀印相生格兼伤官制杀","杀印相生格","1","名称粒度差异","双方确认杀印主结构，独立额外披露伤官制杀","机制展示不同","保留机制"
"R06-C06","pattern_status","不因伤官单独判破","破格","0","状态口径差异（关联明确问题）","网站把七杀盘的伤官写成克官断链并列硬破","可能误判格局状态与理由","区分官印与杀印"
"R06-C07","strength","偏强","中和","0","旺衰权重差异","午未寅生扶与酉庚泄身权重不同","承载结论不同","扩展同构盘"
"R06-C07","yong","水","土","0","旺衰联动差异","独立取财耗身，网站取土扶身","核心方向相反","先不改"
"R06-C07","xi","金","土、火","0","旺衰联动差异","承载前提不同","方向不同","先不改"
"R06-C07","ji","火、土","木、金、水","0","旺衰联动差异","整组方向相反","影响较大","扩展同构盘"
"R06-C07","pattern_name","食神格","食神格","1","-","酉中辛食神当令","一致","无"
"R06-C07","pattern_status","成格","成格","1","-","财透且可承载","一致","无"
"R06-C08","strength","中和偏弱","极弱","1","程度差异","双方均为弱向","程度不同","继续观察"
"R06-C08","yong","火","火","1","-","印扶身制食伤","一致","无"
"R06-C08","xi","土","火、土","1","集合语义差异","网站集合含土","方向一致","展示主次"
"R06-C08","ji","金、水、木","木、金、水","1","-","集合一致","一致","无"
"R06-C08","pattern_name","食神格","食神格","1","-","酉中辛食神","一致","无"
"R06-C08","pattern_status","破格","破格","1","-","丁枭夺食且身弱","一致","无"
"R06-C09","strength","偏强","偏弱","0","旺衰权重差异","巳巳午印根与酉庚乙杀权重不同","方向相反","扩展同构盘"
"R06-C09","yong","水","火","0","旺衰联动差异","独立取缺失财通关，网站扶弱取印","核心方向相反","先不改"
"R06-C09","xi","木","火、土","0","旺衰联动差异","承载前提不同","方向不同","先不改"
"R06-C09","ji","火、土","木、金、水","0","旺衰联动差异","整组方向相反","影响较大","扩展同构盘"
"R06-C09","pattern_name","食神格","食神格","1","-","酉中辛食神","一致","无"
"R06-C09","pattern_status","成格","成格","1","-","无枭且可承载","一致","无"
"R06-C10","strength","极弱","极弱","1","-","三壬双子寒水围火","一致","无"
"R06-C10","yong","木","木","1","-","印化官杀生火","一致","无"
"R06-C10","xi","火","木、火","1","集合语义差异","网站集合含火","方向一致","展示主次"
"R06-C10","ji","水、金、湿土","土、金、水","1","-","核心集合一致","一致","无"
"R06-C10","pattern_name","正官成势兼从杀边界","七杀格","0","取格口径差异","月干壬正官与子中癸七杀并见，网站按月令本气取七杀","格名不同","继续观察"
"R06-C10","pattern_status","破格/不从","破格","1","-","寅印破从且身极弱","方向一致","无"
"R06-C06","sha_yin_output_role_consistency","伤官对七杀可构成制杀，不应写伤官克官、官印链断裂","杀印相生格写官/杀不被食伤制死=false，详情伤官克官，官印链断裂，并作为HARD_BREAK","0","明确程序逻辑问题","官印与杀印共用同一条件和理由，未区分伤官克正官与伤官制七杀","理由事实错误，且可能错误改变格局状态","拆分官印与杀印规则"
"R06-C10","hidden_seal_control_consistency","寅中甲印存在，应写印藏支未透、化杀力不足","条件写无制无化；同一结果用神理由确认木印见于时柱地支","0","明确程序显示问题","七杀制化只查天干，未检查地支藏印","同一报告一处确认印存在，一处声称无制化","分层披露藏印"
