case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R07-C09","xi","木","火、木、土","1","集合语义差异","网站集合包含独立喜用木","方向一致","展示主次"
"R07-C09","ji","金、水","金、水","1","-","印比过旺均列忌","一致","无"
"R07-C09","pattern_name","正印格兼伤官配印","正印格","1","名称粒度差异","双方均承认申月正印，独立额外披露甲伤官与印的关系","机制展示不同","保留机制"
"R07-C09","pattern_status","成格（偏枯）","成格","1","层次差异","双方均未把无财直接判破格","状态一致","保留层次说明"
"R07-C10","strength","极强","极强","1","-","三卯建禄、三乙比劫与癸印成势","一致","无"
"R07-C10","yong","火","金","0","旺衰联动差异","独立先泄旺木，网站先取酉杀制木","核心方向相反","扩展专旺边界盘"
"R07-C10","xi","土","金、火、土","1","集合语义差异","网站集合包含独立喜用土","方向一致","展示主次"
"R07-C10","ji","木、水","木、水","1","-","印比过旺均列忌","一致","无"
"R07-C10","pattern_name","建禄格兼曲直专旺边界","建禄格","1","名称粒度差异","双方均以卯月建禄为主，独立额外披露专旺边界","机制展示不同","保留机制"
"R07-C10","pattern_status","破格","破格","1","-","逆势酉杀孤根且财官不显","一致","无"
"R07-C02","hidden_seal_control_consistency","亥支藏甲印，印藏未透但仍有制伤证据","有印星制伤或财星引化=false；详情“缺印缺财，伤官无制无化”","0","明确程序问题","同一命盘的藏干事实与格局条件互相矛盾","公开证据错误","按藏支印星分层披露"
