case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R03-C05","pattern_name","月比劫兼官杀混杂","杂格","0","流派口径差异","独立描述具体官杀印食结构，网站按丑月比劫非禄刃归杂格","格名精细度不同","保留具体透藏依据"
"R03-C05","pattern_status","结构不纯边界","破格","0","证据不足","网站以月令取格条件不清判破","状态标签不同","扩大丑月己土样本"
"R03-C06","strength","身弱","极弱","1","-","财官杀重但壬印有申根且未藏乙","程度差异不改变扶身方向","无"
"R03-C06","yong","水","水","1","-","印化官杀并生木","无","无"
"R03-C06","xi","木","水木","0","流派口径差异","网站喜神集合包含核心用神水","集合语义不同","公开区分用神与喜神"
"R03-C06","ji","金土火","火土金","1","-","集合一致","无","无"
"R03-C06","pattern_name","正财格兼财生官杀、杀印相生","财生官格","0","流派口径差异","双方都识别未财生辛官，独立另保留杀印与混杂","格名范围不同","显示复合机制"
"R03-C06","pattern_status","边界","破格","0","证据不足","丑未冲与日主承载权重不同","成格程度不同","增加月令受冲财官样本"
"R03-C07","strength","身强","极强","1","-","酉禄与戊己辰丑厚印生身","方向一致","无"
"R03-C07","yong","木","木","1","-","财制印并耗金","无","无"
"R03-C07","xi","火且水条件性可用","木火水","0","流派口径差异","网站集合包含核心用神木且未公开水的用量条件","集合语义不同","展示主次与条件"
"R03-C07","ji","土金","土金","1","-","集合一致","无","无"
"R03-C07","pattern_name","建禄格印重用财","建禄格","1","-","酉为辛禄，主体格名一致","无","无"
"R03-C07","pattern_status","需要财星救应的边界","破格","0","流派口径差异","网站要求财官透出，独立允许食伤有形后待财救应","公开层次不同","确认建禄成格门槛"
"R03-C08","strength","极强","极强","1","-","双子亥禄辛印生水","无","无"
"R03-C08","yong","火","土","0","流派口径差异","独立先取火调候耗水，网站先补官杀制刃","核心取用先后不同","确认冬旺水调候与官杀优先级"
"R03-C08","xi","木土","土火木","0","流派口径差异","网站集合包含核心用神土与调候火","集合语义不同","展示主次"
"R03-C08","ji","金水","金水","1","-","集合一致","无","无"
"R03-C08","pattern_name","羊刃格兼食神生财","羊刃格","1","-","子为壬刃，主体格名一致","无","无"
"R03-C08","pattern_status","午财受冲的边界","破格","0","证据不足","网站以月令受冲和官杀未透判破","成格程度不同","保留午中官与财根受冲证据"
"R03-C09","strength","身强","偏强","1","-","巳刃丁比戌根与庚酉子耗制并存","方向一致","无"
"R03-C09","yong","水","水","1","-","七杀制刃并调候","无","无"
"R03-C09","xi","金且土条件性可用","水土金","0","流派口径差异","网站集合包含核心用神水且直接纳入土","集合语义和条件不同","展示土不可伤水的条件"
"R03-C09","ji","木火","木火","1","-","集合一致","无","无"
"R03-C09","pattern_name","羊刃驾杀边界","羊刃格","1","-","巳为丁刃，主体格名一致","无","无"
"R03-C09","pattern_status","财生杀与伤官制杀相持的边界","破格","0","证据不足","网站要求官杀透干，独立计入子中癸杀","成格程度不同","区分官杀未透与完全无制"
"R03-C10","strength","极弱不从","极弱","1","-","土势重但乙印透根、未藏丁","普通旺衰方向一致","无"
"R03-C10","yong","木","木","1","-","印制伤并生火","无","无"
"R03-C10","xi","火","木火","0","流派口径差异","网站喜神集合包含核心用神木","集合语义不同","公开区分用神与喜神"
"R03-C10","ji","土金水","土金水","1","-","集合一致","无","无"
"R03-C10","pattern_name","伤官格兼伤官配印","伤官格","1","-","丑藏己透月时，主体格名一致","无","无"
"R03-C10","pattern_status","配印边界","破格","0","证据不足","丑未冲动印根且日主极弱","成格程度不同","增加弱印制伤样本"
"R03-C05","tiaohou_evidence_consistency","弱火只能说明原局见火，不能直接断言调候完成","火根气仅1分且最终为忌神，却写原局有火、寒谷回春、调候已得","0","明确程序错误","hasWxGlobal只检查火是否出现，不检查根气、受制或最终角色","公开依据过度确定且与同页火为忌神并列后容易误解","改成按有效性分级；弱火只写虽见火但力量有限"
"R03-C04","pattern_presence_consistency","官杀藏支未透应写制刃不足，不能写无制","土官杀见于两个丑支且被选为用神，格局却写羊刃无制","0","明确程序错误","羊刃成格条件只统计可见透干，忽略已被其他模块确认的地支官杀","同一报告一处说官杀存在，一处说完全无制","保持破格状态不变，把理由改为官杀未透、制刃不足"
"R03-C08","pattern_presence_consistency","官杀藏支且受冲应写力量不足，不能写无制","午中己土官星有根但受双子冲，格局直接写羊刃无制","0","明确程序错误","羊刃条件只看透干，没有披露隐藏官星及受冲事实","丢失真实制化依据","保持状态不变，改为官杀未透且根受冲、制刃不足"
"R03-C09","pattern_presence_consistency","子中癸杀存在但受戊伤官制，应写制化不足，不能写无制","用神说明明确水官杀见于时支，格局同时写羊刃无制","0","明确程序错误","visibleCount只看透干，而喜用忌模块已确认子中官杀根","同一结果直接自相矛盾","保持破格状态不变，改为官杀未透且受伤官牵制"
